homeTeam,awayTeam,league,result,odds,date
Genoa,Benevento,Serie A,2:2,"['2.04', '3.22', '3.98']",2021-04-21
Udinese,Cagliari,Serie A,0:1,"['2.26', '3.26', '3.30']",2021-04-21
Bologna,Torino,Serie A,1:1,"['2.48', '3.31', '2.89']",2021-04-21
AC Milan,Sassuolo,Serie A,1:2,"['1.90', '3.69', '3.92']",2021-04-21
Verona,Fiorentina,Serie A,1:2,"['2.57', '3.22', '2.83']",2021-04-20
AC Milan,Genoa,Serie A,2:1,"['1.41', '4.67', '7.71']",2021-04-18
Atalanta,Juventus,Serie A,1:0,"['2.28', '3.51', '3.04']",2021-04-18
Bologna,Spezia,Serie A,4:1,"['1.91', '3.75', '3.82']",2021-04-18
Lazio,Benevento,Serie A,5:3,"['1.32', '5.47', '9.25']",2021-04-18
Napoli,Inter,Serie A,1:1,"['3.01', '3.36', '2.36']",2021-04-18
Torino,AS Roma,Serie A,3:1,"['2.86', '3.45', '2.42']",2021-04-18
Cagliari,Parma,Serie A,4:3,"['2.31', '3.38', '3.09']",2021-04-17
Crotone,Udinese,Serie A,1:2,"['3.61', '3.53', '2.04']",2021-04-17
Sampdoria,Verona,Serie A,3:1,"['2.83', '3.21', '2.58']",2021-04-17
Sassuolo,Fiorentina,Serie A,3:1,"['2.60', '3.20', '2.82']",2021-04-17
