homeTeam,awayTeam,league,result,odds,date
Arsenal,Norwich,Premier League,1:0,"['1.40', '4.88', '7.84']",2021-09-11
Burnley,Leeds,Premier League,1:1,"['3.26', '3.52', '2.20']",2021-08-29
Tottenham,Watford,Premier League,1:0,"['1.45', '4.44', '7.68']",2021-08-29
Wolves,Manchester Utd,Premier League,0:1,"['4.93', '3.70', '1.75']",2021-08-29
West Ham,Crystal Palace,Premier League,2:2,"['1.56', '4.09', '6.32']",2021-08-28
Newcastle,Southampton,Premier League,2:2,"['2.42', '3.53', '2.85']",2021-08-28
Norwich,Leicester,Premier League,1:2,"['4.19', '3.61', '1.89']",2021-08-28
Brighton,Everton,Premier League,0:2,"['2.29', '3.21', '3.36']",2021-08-28
Manchester City,Arsenal,Premier League,5:0,"['1.34', '5.20', '9.56']",2021-08-28
Liverpool,Chelsea,Premier League,1:1,"['2.42', '3.31', '3.02']",2021-08-28
Aston Villa,Brentford,Premier League,1:1,"['2.07', '3.29', '3.90']",2021-08-28
West Ham,Leicester,Premier League,4:1,"['2.45', '3.45', '2.89']",2021-08-23
Southampton,Manchester Utd,Premier League,1:1,"['5.37', '4.28', '1.61']",2021-08-22
Wolves,Tottenham,Premier League,0:1,"['2.93', '3.06', '2.66']",2021-08-22
Arsenal,Chelsea,Premier League,0:2,"['4.52', '3.53', '1.86']",2021-08-22
Aston Villa,Newcastle,Premier League,2:0,"['1.83', '3.88', '4.18']",2021-08-21
Brighton,Watford,Premier League,2:0,"['1.73', '3.57', '5.39']",2021-08-21
Crystal Palace,Brentford,Premier League,0:0,"['2.65', '3.16', '2.86']",2021-08-21
Leeds,Everton,Premier League,2:2,"['2.11', '3.48', '3.53']",2021-08-21
Liverpool,Burnley,Premier League,2:0,"['1.24', '6.56', '12.02']",2021-08-21
Manchester City,Norwich,Premier League,5:0,"['1.12', '9.94', '22.76']",2021-08-21
Newcastle,West Ham,Premier League,2:4,"['3.36', '3.47', '2.18']",2021-08-15
Tottenham,Manchester City,Premier League,1:0,"['5.91', '4.12', '1.58']",2021-08-15
Manchester Utd,Leeds,Premier League,5:1,"['1.64', '4.17', '5.19']",2021-08-14
Watford,Aston Villa,Premier League,3:2,"['3.48', '3.29', '2.21']",2021-08-14
Norwich,Liverpool,Premier League,0:3,"['6.71', '4.82', '1.46']",2021-08-14
Everton,Southampton,Premier League,3:1,"['2.04', '3.37', '3.93']",2021-08-14
Leicester,Wolves,Premier League,1:0,"['1.74', '3.72', '5.00']",2021-08-14
Burnley,Brighton,Premier League,1:2,"['3.17', '3.08', '2.47']",2021-08-14
Chelsea,Crystal Palace,Premier League,3:0,"['1.32', '5.16', '10.53']",2021-08-14
Brentford,Arsenal,Premier League,2:0,"['3.85', '3.26', '2.09']",2021-08-13
Arsenal,Brighton,Premier League,2:0,"['1.67', '4.18', '4.91']",2021-05-23
Fulham,Newcastle,Premier League,0:2,"['2.47', '3.41', '2.88']",2021-05-23
Leeds,West Brom,Premier League,3:1,"['1.54', '4.64', '5.55']",2021-05-23
Leicester,Tottenham,Premier League,2:4,"['1.78', '4.18', '4.13']",2021-05-23
Liverpool,Crystal Palace,Premier League,2:0,"['1.16', '8.40', '15.96']",2021-05-23
Manchester City,Everton,Premier League,5:0,"['1.29', '6.08', '9.50']",2021-05-23
Sheffield Utd,Burnley,Premier League,1:0,"['2.78', '3.48', '2.52']",2021-05-23
